,Academic Year,Classification of First Degree,Number,Percentage
17,2013/14,First,79410,20
18,2013/14,Lower second,95965,24
19,2013/14,Third/Pass,21905,6
21,2013/14,Upper second,198320,50
292,2014/15,First,81640,22
293,2014/15,Lower second,85250,23
294,2014/15,Third/Pass,20340,5
296,2014/15,Upper second,183680,50
567,2015/16,First,88890,24
568,2015/16,Lower second,81595,22
569,2015/16,Third/Pass,19280,5
571,2015/16,Upper second,186565,50
842,2016/17,First,100945,26
843,2016/17,Lower second,79515,20
844,2016/17,Third/Pass,19025,5
846,2016/17,Upper second,192395,49
1122,2017/18,First,110475,28
1123,2017/18,Lower second,76210,19
1124,2017/18,Third/Pass,17830,4
1126,2017/18,Upper second,192425,48
