,HE Provider,Country,Female,Male,Other
3,AECC University College,England,215.0,220.0,0.0
4,Anglia Ruskin University,England,11250.0,6115.0,5.0
5,Aston University,England,5365.0,5585.0,0.0
7,Bath Spa University,England,4055.0,1885.0,0.0
8,The University of Bath,England,5825.0,7460.0,10.0
9,University of Bedfordshire,England,5735.0,3775.0,0.0
11,Birkbeck College,England,1790.0,1520.0,5.0
12,Birmingham City University,England,11495.0,6955.0,15.0
13,The University of Birmingham,England,12945.0,9260.0,5.0
14,University College Birmingham,England,2635.0,1265.0,0.0
15,Bishop Grosseteste University,England,1355.0,305.0,0.0
16,The University of Bolton,England,2960.0,1865.0,0.0
17,The Arts University Bournemouth,England,2240.0,980.0,20.0
18,Bournemouth University,England,6880.0,6390.0,20.0
19,The University of Bradford,England,3990.0,2930.0,0.0
20,The University of Brighton,England,8315.0,5765.0,20.0
21,The University College of Osteopathy,England,125.0,115.0,0.0
22,The University of Bristol,England,10140.0,8465.0,10.0
23,Brunel University London,England,4955.0,5960.0,0.0
24,Buckinghamshire New University,England,3815.0,4395.0,0.0
25,The University of Buckingham,England,790.0,690.0,0.0
26,The University of Cambridge,England,5830.0,6425.0,10.0
27,Canterbury Christ Church University,England,6400.0,2885.0,5.0
30,The University of Central Lancashire,England,9105.0,6420.0,0.0
31,University of Chester,England,6170.0,2820.0,0.0
32,The University of Chichester,England,2460.0,1500.0,0.0
33,"City, University of London",England,5450.0,4295.0,5.0
34,Conservatoire for Dance and Drama,England,715.0,385.0,5.0
35,Courtauld Institute of Art,England,175.0,40.0,0.0
36,Coventry University,England,12710.0,13625.0,15.0
37,University for the Creative Arts,England,3065.0,1415.0,15.0
38,University of Cumbria,England,2995.0,1365.0,10.0
39,De Montfort University,England,11295.0,9125.0,15.0
40,University of Derby,England,7035.0,4860.0,0.0
42,University of Durham,England,7525.0,6685.0,0.0
43,The University of East Anglia,England,7290.0,5495.0,15.0
44,The University of East London,England,5560.0,3455.0,0.0
45,Edge Hill University,England,6510.0,3005.0,0.0
48,The University of Essex,England,5890.0,5580.0,5.0
49,The University of Exeter,England,10165.0,8875.0,30.0
50,Falmouth University,England,3375.0,2365.0,40.0
54,University of Gloucestershire,England,3715.0,2725.0,15.0
56,Goldsmiths College,England,4085.0,2415.0,5.0
58,The University of Greenwich,England,7410.0,4865.0,0.0
59,Guildhall School of Music and Drama,England,335.0,345.0,5.0
60,Harper Adams University,England,1390.0,990.0,0.0
61,Hartpury University,England,1050.0,505.0,0.0
63,University of Hertfordshire,England,8615.0,6950.0,0.0
64,The University of Huddersfield,England,7080.0,5545.0,0.0
65,The University of Hull,England,6330.0,5475.0,15.0
66,"Imperial College of Science, Technology and Medicine",England,3675.0,6305.0,0.0
67,Keele University,England,4495.0,3425.0,0.0
68,The University of Kent,England,7780.0,6985.0,0.0
69,King's College London,England,11065.0,6585.0,85.0
