,HE Provider,Country,Female,Male,Other
0,The University of Aberdeen,Scotland,5620.0,4085.0,0.0
1,University of Abertay Dundee,Scotland,1775.0,1895.0,5.0
41,The University of Dundee,Scotland,6405.0,3535.0,0.0
46,Edinburgh Napier University,Scotland,5170.0,4045.0,0.0
47,The University of Edinburgh,Scotland,13235.0,8645.0,10.0
51,Glasgow Caledonian University,Scotland,6810.0,4855.0,5.0
52,Glasgow School of Art,Scotland,1085.0,450.0,25.0
53,The University of Glasgow,Scotland,10735.0,7580.0,45.0
62,Heriot-Watt University,Scotland,3095.0,4425.0,0.0
106,"Queen Margaret University, Edinburgh",Scotland,2245.0,780.0,5.0
110,The Robert Gordon University,Scotland,5065.0,2875.0,0.0
117,Royal Conservatoire of Scotland,Scotland,500.0,405.0,5.0
122,The University of St Andrews,Scotland,4585.0,3050.0,5.0
128,SRUC,Scotland,720.0,515.0,0.0
134,The University of Stirling,Scotland,5170.0,2830.0,5.0
137,The University of Strathclyde,Scotland,6610.0,6690.0,30.0
146,University of the Highlands and Islands,Scotland,3300.0,2190.0,15.0
152,The University of the West of Scotland,Scotland,7625.0,4735.0,15.0
