,HE Provider,Country,Female,Male,Other
2,Aberystwyth University,Wales,2900.0,2785.0,25.0
6,Bangor University,Wales,4440.0,2975.0,0.0
28,Cardiff University,Wales,11850.0,8070.0,25.0
29,Cardiff Metropolitan University,Wales,4160.0,3460.0,0.0
55,Glyndŵr University,Wales,1640.0,1005.0,5.0
57,Gower College Swansea,Wales,5.0,0.0,0.0
83,Grŵp Llandrillo Menai,Wales,335.0,205.0,0.0
95,Grŵp NPTC Group,Wales,25.0,50.0,0.0
142,Swansea University,Wales,6750.0,8680.0,0.0
145,University of Wales Trinity Saint David,Wales,4350.0,3430.0,5.0
149,University of South Wales,Wales,7785.0,6270.0,35.0
